;id;r1;r2;r3;dist1;clusters
0;56153;3482977;-9.99612;1.9885099999999998;0.012127428;0
1;133501;4238284;-9.98953;2.01599;0.019112848999999998;0
2;67517;4478933;-10.0146;2.01383;0.020110418;0
3;129586;6009684;-10.0003;2.0204299999999997;0.020432203;0
4;320220;3569400;-9.997589999999999;1.97937;0.020770291;0
5;259664;3129769;-9.98081;2.01113;0.022184071;0
6;337393;2699552;-9.99263;2.02115;0.022397307999999998;0
7;260932;1028965;-9.981710000000001;2.0129799999999998;0.022427762;0
8;14601;1841616;-9.97701;1.99226;0.024257941;0
9;89455;2246087;-9.99424;2.02427;0.024944148;0
10;323737;3970354;-9.97827;2.01281;0.02522477;0
11;11941;4833396;-9.9806;2.0183;0.026669271;0
12;177837;4108512;-10.0102;2.0274099999999997;0.029246335;0
13;55035;2240158;-10.0217;1.97796;0.030929785;0
14;230083;3174387;-10.0018;2.0319700000000003;0.032020632;0
15;133714;1258404;-10.0164;1.97053;0.033725967999999995;0
16;100992;5667608;-9.9672;1.9848700000000001;0.036121419;0
17;296778;5311905;-9.96305;1.99691;0.037078978;0
18;305095;3910725;-10.0297;2.0236;0.037934813;0
19;220692;3913482;-9.99822;1.9595099999999999;0.040529107;0
20;281548;4057236;-10.0069;1.95983;0.040758299;0
21;262900;3923593;-10.0252;2.0321700000000003;0.040865008;0
22;78314;4272125;-10.042;1.9959200000000001;0.042197705999999995;0
23;313669;5797207;-9.98323;1.95967;0.043677704000000005;0
24;352343;2832695;-10.0286;1.96426;0.04577453;0
25;331522;3419995;-10.0364;1.97115;0.046446555;0
26;266935;5049637;-10.0466;2.0078099999999997;0.047249932;0
27;319283;5644661;-10.0307;1.95738;0.05252575;0
28;222354;3857868;-9.96372;1.96145;0.05293714099999999;0
29;183636;1932443;-9.99675;2.0531099999999998;0.053209347000000004;0
30;145518;4956233;-10.0373;1.96091;0.054030714;0
31;1147;5600519;-10.0529;2.0133;0.05454631099999999;0
32;96357;1539728;-9.94738;1.98415;0.054955317000000004;0
33;304522;2071575;-10.0488;1.97202;0.056252292;0
34;54931;4325847;-10.0557;2.0087;0.056375349000000005;0
35;329663;2052230;-10.0073;2.05641;0.056880384000000006;0
36;144097;3447760;-9.99638;1.9423;0.057813445;0
37;3744;2895132;-10.0176;2.0552;0.057937898;0
38;165504;2365570;-10.0082;2.0579099999999997;0.058487675;0
39;211215;5242545;-9.98452;2.0565700000000002;0.058649768;0
40;140241;1360936;-9.94523;2.02388;0.059749538;0
41;189981;3978523;-10.0497;2.0364;0.061603977000000004;0
42;33480;2747466;-9.94214;2.0246299999999997;0.062884151;0
43;239516;3093695;-9.97847;1.94091;0.062890134;0
44;250976;5183956;-9.94708;2.03566;0.063813494;0
45;227734;2231588;-10.0375;2.0525;0.06451744;0
46;289538;4307084;-10.0621;1.9816900000000002;0.064743078;0
47;275668;5869778;-10.0343;2.05608;0.065737785;0
48;186001;2021372;-9.9478;2.0402;0.065885355;0
49;327691;4798717;-10.0582;2.03275;0.066781753;0
50;32314;3971372;-10.0199;2.06453;0.06752874099999999;0
51;229705;3078923;-9.94224;1.96492;0.06757828099999999;0
52;56904;5765222;-9.98497;2.06619;0.06787501;0
53;274827;4706510;-9.998339999999999;1.93154;0.068480123;0
54;283799;5734240;-9.95477;2.05202;0.068933543;0
55;176862;5902592;-9.94163;1.96288;0.069173342;0
56;55096;3465808;-9.98988;2.0691599999999997;0.069896495;0
57;280531;2144518;-10.0673;2.02083;0.070449833;0
58;354224;5299257;-10.0182;1.93137;0.071002232;0
