;id;r1;r2;r3;dist1;clusters
0;129586;6009684;-10.0003;2.0204299999999997;0.020432203;1
1;259664;3129769;-9.98081;2.01113;0.022184071;1
2;14601;1841616;-9.97701;1.99226;0.024257941;1
3;323737;3970354;-9.97827;2.01281;0.02522477;1
4;55035;2240158;-10.0217;1.97796;0.030929785;1
5;100992;5667608;-9.9672;1.9848700000000001;0.036121419;1
6;281548;4057236;-10.0069;1.95983;0.040758299;1
7;313669;5797207;-9.98323;1.95967;0.043677704000000005;1
8;96357;1539728;-9.94738;1.98415;0.054955317000000004;1
9;304522;2071575;-10.0488;1.97202;0.056252292;1
10;165504;2365570;-10.0082;2.0579099999999997;0.058487675;1
11;211215;5242545;-9.98452;2.0565700000000002;0.058649768;1
12;140241;1360936;-9.94523;2.02388;0.059749538;1
13;189981;3978523;-10.0497;2.0364;0.061603977000000004;1
14;239516;3093695;-9.97847;1.94091;0.062890134;1
15;227734;2231588;-10.0375;2.0525;0.06451744;1
16;56904;5765222;-9.98497;2.06619;0.06787501;1
17;274827;4706510;-9.998339999999999;1.93154;0.068480123;1
18;176862;5902592;-9.94163;1.96288;0.069173342;1
19;55096;3465808;-9.98988;2.0691599999999997;0.069896495;1
20;280531;2144518;-10.0673;2.02083;0.070449833;1
21;99987;4251786;-10.0646;1.9632900000000002;0.074301979;1
22;355122;3174976;-9.924539999999999;2.00075;0.07546372700000001;1
23;74640;2603832;-10.0177;1.92641;0.075688692;1
24;344502;3681653;-10.0499;2.05795;0.076473607;1
25;83786;3165423;-9.93269;1.96291;0.076852483;1
26;87438;2609809;-9.934510000000001;1.94914;0.082919718;1
27;193948;4092080;-10.0756;1.96312;0.084115958;1
28;103809;5767936;-10.0661;1.9474200000000002;0.084462219;1
29;70327;5693933;-10.0855;2.00108;0.085506821;1
30;116833;1930798;-10.0025;1.91415;0.085886393;1
31;323664;3111265;-9.91588;2.02661;0.08822849;1
32;224351;1610832;-9.92723;1.9494900000000002;0.088581787;1
33;322708;1876666;-10.0722;1.945;0.090762547;1
34;64464;3721556;-10.062000000000001;2.0682400000000003;0.09219922800000001;1
35;239913;4650521;-10.0687;2.06184;0.092433087;1
36;151008;3930946;-10.0248;1.91093;0.092458125;1
37;211273;4638923;-9.96979;1.91257;0.09250215699999999;1
38;119260;4765442;-10.0942;2.01784;0.095874426;1
39;282291;2288103;-9.92827;1.93527;0.096618662;1
40;284021;2717364;-10.0338;1.90945;0.09665269;1
41;329932;2524367;-10.0233;2.09455;0.09737860400000001;1
42;169694;4128303;-10.0761;1.93905;0.097499295;1
43;259707;3947745;-10.0784;1.94075;0.09827065900000001;1
44;93287;2804787;-10.0695;2.0703400000000003;0.09888359599999999;1
