epoch;cnvnum;cnvlen
1;0.495300;128716.676800
2;0.495300;128716.676800
3;0.495300;128716.676800
4;0.495300;128716.676800
5;0.495300;128716.676800
6;0.495300;128716.676800
7;0.495300;128716.676800
8;0.495300;128716.676800
9;0.495300;128716.676800
10;0.495300;128716.676800
11;0.495300;128716.676800
12;0.495300;128716.676800
13;0.495300;128716.676800
14;0.495300;128716.676800
15;0.495300;128716.676800
16;0.495300;128716.676800
17;0.495300;128716.676800
18;0.495300;128716.676800
19;0.495300;128716.676800
20;0.495300;128716.676800
21;0.495300;128716.676800
22;0.495300;128716.676800
23;0.495300;128716.676800
24;0.495300;128716.676800
25;0.495300;128716.676800
26;0.495300;128716.676800
27;0.495300;128716.676800
28;0.495300;128716.676800
29;0.495300;128716.676800
30;0.495300;128716.676800
31;0.495300;128716.676800
32;0.495300;128716.676800
33;0.495300;128716.676800
34;0.495300;128716.676800
35;0.495300;128716.676800
36;0.495300;128716.676800
37;0.495300;128716.676800
38;0.495300;128716.676800
39;0.495300;128716.676800
40;0.495300;128716.676800
41;0.495300;128716.676800
42;0.495300;128716.676800
43;0.495300;128716.676800
44;0.495300;128716.676800
45;0.495300;128716.676800
46;0.495300;128716.676800
47;0.495300;128716.676800
48;0.495300;128716.676800
49;0.495300;128716.676800
50;0.495300;128716.676800
51;0.495300;128716.676800
52;0.495300;128716.676800
53;0.495300;128716.676800
54;0.495300;128716.676800
55;0.495300;128716.676800
56;0.495300;128716.676800
57;0.495300;128716.676800
58;0.495300;128716.676800
59;0.495300;128716.676800
60;0.495300;128716.676800
61;0.495300;128716.676800
62;0.495300;128716.676800
63;0.495300;128716.676800
64;0.495300;128716.676800
65;0.495300;128716.676800
66;0.495300;128716.676800
67;0.495300;128716.676800
68;0.495300;128716.676800
69;0.495300;128716.676800
70;0.495300;128716.676800
71;0.495300;128716.676800
72;0.495300;128716.676800
73;0.495300;128716.676800
74;0.495300;128716.676800
75;0.495300;128716.676800
76;0.495300;128716.676800
77;0.495300;128716.676800
78;0.495300;128716.676800
79;0.495300;128716.676800
80;0.495300;128716.676800
81;0.495300;128716.676800
82;0.495300;128716.676800
83;0.495300;128716.676800
84;0.495300;128716.676800
85;0.495300;128716.676800
86;0.495300;128716.676800
87;0.495300;128716.676800
88;0.495300;128716.676800
89;0.495300;128716.676800
90;0.495300;128716.676800
91;0.495300;128716.676800
92;0.495300;128716.676800
93;0.495300;128716.676800
94;0.495300;128716.676800
95;0.495300;128716.676800
96;0.495300;128716.676800
97;0.495300;128716.676800
98;0.495300;128716.676800
99;0.495300;128716.676800
100;0.495300;128716.676800
101;0.495300;128716.676800
102;0.495300;128716.676800
103;0.495300;128716.676800
104;0.495300;128716.676800
105;0.495300;128716.676800
106;0.495300;128716.676800
107;0.495300;128716.676800
108;0.495300;128716.676800
109;0.495300;128716.676800
110;0.495300;128716.676800
111;0.495300;128716.676800
112;0.495300;128716.676800
113;0.495300;128716.676800
114;0.495300;128716.676800
115;0.495300;128716.676800
116;0.495300;128716.676800
117;0.495300;128716.676800
118;0.495300;128716.676800
119;0.495300;128716.676800
120;0.495300;128716.676800
121;0.495300;128716.676800
122;0.495300;128716.676800
123;0.495300;128716.676800
124;0.495300;128716.676800
125;0.495300;128716.676800
126;0.495300;128716.676800
127;0.495300;128716.676800
128;0.495300;128716.676800
129;0.495300;128716.676800
130;0.495300;128716.676800
131;0.495300;128716.676800
132;0.495300;128716.676800
133;0.495300;128716.676800
134;0.495300;128716.676800
135;0.495300;128716.676800
136;0.495300;128716.676800
137;0.495300;128716.676800
138;0.495300;128716.676800
139;0.495300;128716.676800
140;0.495300;128716.676800
141;0.495300;128716.676800
142;0.495300;128716.676800
143;0.495300;128716.676800
144;0.495300;128716.676800
145;0.495300;128716.676800
146;0.495300;128716.676800
147;0.495300;128716.676800
148;0.495300;128716.676800
149;0.495300;128716.676800
150;0.495300;128716.676800
151;0.495300;128716.676800
152;0.495300;128716.676800
153;0.495300;128716.676800
154;0.495300;128716.676800
155;0.495300;128716.676800
156;0.495300;128716.676800
157;0.495300;128716.676800
158;0.495300;128716.676800
159;0.495300;128716.676800
160;0.495300;128716.676800
161;0.495300;128716.676800
162;0.495300;128716.676800
163;0.495300;128716.676800
164;0.495300;128716.676800
165;0.495300;128716.676800
166;0.495300;128716.676800
167;0.495300;128716.676800
168;0.495300;128716.676800
169;0.495300;128716.676800
170;0.495300;128716.676800
171;0.495300;128716.676800
172;0.495300;128716.676800
173;0.495300;128716.676800
174;0.495300;128716.676800
175;0.495300;128716.676800
176;0.495300;128716.676800
177;0.495300;128716.676800
178;0.495300;128716.676800
179;0.495300;128716.676800
180;0.495300;128716.676800
181;0.495300;128716.676800
182;0.495300;128716.676800
183;0.495300;128716.676800
184;0.495300;128716.676800
185;0.495300;128716.676800
186;0.495300;128716.676800
187;0.495300;128716.676800
188;0.495300;128716.676800
189;0.495300;128716.676800
190;0.495300;128716.676800
191;0.495300;128716.676800
192;0.495300;128716.676800
193;0.495300;128716.676800
194;0.495300;128716.676800
195;0.495300;128716.676800
196;0.495300;128716.676800
197;0.495300;128716.676800
198;0.495300;128716.676800
199;0.495300;128716.676800
200;0.495300;128716.676800
201;0.495300;128716.676800
202;0.495300;128716.676800
203;0.495300;128716.676800
204;0.495300;128716.676800
205;0.495300;128716.676800
206;0.495300;128716.676800
207;0.495300;128716.676800
208;0.495300;128716.676800
209;0.495300;128716.676800
210;0.495300;128716.676800
211;0.495300;128716.676800
212;0.495300;128716.676800
213;0.495300;128716.676800
214;0.495300;128716.676800
215;0.495300;128716.676800
216;0.495300;128716.676800
217;0.495300;128716.676800
218;0.495300;128716.676800
219;0.495300;128716.676800
220;0.495300;128716.676800
221;0.495300;128716.676800
222;0.495300;128716.676800
223;0.495300;128716.676800
224;0.495300;128716.676800
225;0.495300;128716.676800
226;0.495300;128716.676800
227;0.495300;128716.676800
228;0.495300;128716.676800
229;0.495300;128716.676800
230;0.495300;128716.676800
231;0.495300;128716.676800
232;0.495300;128716.676800
233;0.495300;128716.676800
234;0.495300;128716.676800
235;0.495300;128716.676800
236;0.495300;128716.676800
237;0.495300;128716.676800
238;0.495300;128716.676800
239;0.495300;128716.676800
240;0.495300;128716.676800
241;0.495300;128716.676800
242;0.495300;128716.676800
243;0.495300;128716.676800
244;0.495300;128716.676800
245;0.495300;128716.676800
246;0.495300;128716.676800
247;0.495300;128716.676800
248;0.495300;128716.676800
249;0.495300;128716.676800
250;0.495300;128716.676800
251;0.495300;128716.676800
252;0.495300;128716.676800
253;0.495300;128716.676800
254;0.495300;128716.676800
255;0.495300;128716.676800
256;0.495300;128716.676800
257;0.495300;128716.676800
258;0.495300;128716.676800
259;0.495300;128716.676800
260;0.495300;128716.676800
261;0.495300;128716.676800
262;0.495300;128716.676800
263;0.495300;128716.676800
264;0.495300;128716.676800
265;0.495300;128716.676800
266;0.495300;128716.676800
267;0.495300;128716.676800
268;0.495300;128716.676800
269;0.495300;128716.676800
270;0.495300;128716.676800
271;0.495300;128716.676800
272;0.495300;128716.676800
273;0.495300;128716.676800
274;0.495300;128716.676800
275;0.495300;128716.676800
276;0.495300;128716.676800
277;0.495300;128716.676800
278;0.495300;128716.676800
279;0.495300;128716.676800
280;0.495300;128716.676800
281;0.495300;128716.676800
282;0.495300;128716.676800
283;0.495300;128716.676800
284;0.495300;128716.676800
285;0.495300;128716.676800
286;0.495300;128716.676800
287;0.495300;128716.676800
288;0.495300;128716.676800
289;0.495300;128716.676800
290;0.495300;128716.676800
291;0.495300;128716.676800
292;0.495300;128716.676800
293;0.495300;128716.676800
294;0.495300;128716.676800
295;0.495300;128716.676800
296;0.495300;128716.676800
297;0.495300;128716.676800
298;0.495300;128716.676800
299;0.495300;128716.676800
300;0.495300;128716.676800
301;0.495300;128716.676800
302;0.495300;128716.676800
303;0.495300;128716.676800
304;0.495300;128716.676800
305;0.495300;128716.676800
306;0.495300;128716.676800
307;0.495300;128716.676800
308;0.495300;128716.676800
309;0.495300;128716.676800
310;0.495300;128716.676800
311;0.495300;128716.676800
312;0.495300;128716.676800
313;0.495300;128716.676800
314;0.495300;128716.676800
315;0.495300;128716.676800
316;0.495300;128716.676800
317;0.495300;128716.676800
318;0.495300;128716.676800
319;0.495300;128716.676800
320;0.495300;128716.676800
321;0.495300;128716.676800
322;0.495300;128716.676800
323;0.495300;128716.676800
324;0.495300;128716.676800
325;0.495300;128716.676800
326;0.495300;128716.676800
327;0.495300;128716.676800
328;0.495300;128716.676800
329;0.495300;128716.676800
330;0.495300;128716.676800
331;0.495300;128716.676800
332;0.495300;128716.676800
333;0.495300;128716.676800
334;0.495300;128716.676800
335;0.495300;128716.676800
336;0.495300;128716.676800
337;0.495300;128716.676800
338;0.495300;128716.676800
339;0.495300;128716.676800
340;0.495300;128716.676800
341;0.495300;128716.676800
342;0.495300;128716.676800
343;0.495300;128716.676800
344;0.495300;128716.676800
345;0.495300;128716.676800
346;0.495300;128716.676800
347;0.495300;128716.676800
348;0.495300;128716.676800
349;0.495300;128716.676800
350;0.495300;128716.676800
351;0.495300;128716.676800
352;0.495300;128716.676800
353;0.495300;128716.676800
354;0.495300;128716.676800
355;0.495300;128716.676800
356;0.495300;128716.676800
357;0.495300;128716.676800
358;0.495300;128716.676800
359;0.495300;128716.676800
360;0.495300;128716.676800
361;0.495300;128716.676800
362;0.495300;128716.676800
363;0.495300;128716.676800
364;0.495300;128716.676800
365;0.495300;128716.676800
366;0.495300;128716.676800
367;0.495300;128716.676800
368;0.495300;128716.676800
369;0.495300;128716.676800
370;0.495300;128716.676800
371;0.495300;128716.676800
372;0.495300;128716.676800
373;0.495300;128716.676800
374;0.495300;128716.676800
375;0.495300;128716.676800
376;0.495300;128716.676800
377;0.495300;128716.676800
378;0.495300;128716.676800
379;0.495300;128716.676800
380;0.495300;128716.676800
381;0.495300;128716.676800
382;0.495300;128716.676800
383;0.495300;128716.676800
384;0.495300;128716.676800
385;0.495300;128716.676800
386;0.495300;128716.676800
387;0.495300;128716.676800
388;0.495300;128716.676800
389;0.495300;128716.676800
390;0.495300;128716.676800
391;0.495300;128716.676800
392;0.495300;128716.676800
393;0.495300;128716.676800
394;0.495300;128716.676800
395;0.495300;128716.676800
396;0.495300;128716.676800
397;0.495300;128716.676800
398;0.495300;128716.676800
399;0.495300;128716.676800
400;0.495300;128716.676800
401;0.495300;128716.676800
402;0.495300;128716.676800
403;0.495300;128716.676800
404;0.495300;128716.676800
405;0.495300;128716.676800
406;0.495300;128716.676800
407;0.495300;128716.676800
408;0.495300;128716.676800
409;0.495300;128716.676800
410;0.495300;128716.676800
411;0.495300;128716.676800
412;0.495300;128716.676800
413;0.495300;128716.676800
414;0.495300;128716.676800
415;0.495300;128716.676800
416;0.495300;128716.676800
417;0.495300;128716.676800
418;0.495300;128716.676800
419;0.495300;128716.676800
420;0.495300;128716.676800
421;0.495300;128716.676800
422;0.495300;128716.676800
423;0.495300;128716.676800
424;0.495300;128716.676800
425;0.495300;128716.676800
426;0.495300;128716.676800
427;0.495300;128716.676800
428;0.495300;128716.676800
429;0.495300;128716.676800
430;0.495300;128716.676800
431;0.495300;128716.676800
432;0.495300;128716.676800
433;0.495300;128716.676800
434;0.495300;128716.676800
435;0.495300;128716.676800
436;0.495300;128716.676800
437;0.495300;128716.676800
438;0.495300;128716.676800
439;0.495300;128716.676800
440;0.495300;128716.676800
441;0.495300;128716.676800
442;0.495300;128716.676800
443;0.495300;128716.676800
444;0.495300;128716.676800
445;0.495300;128716.676800
446;0.495300;128716.676800
447;0.495300;128716.676800
448;0.495300;128716.676800
449;0.495300;128716.676800
450;0.495300;128716.676800
451;0.495300;128716.676800
452;0.495300;128716.676800
453;0.495300;128716.676800
454;0.495300;128716.676800
