id;r1;r2;r3
788;1103560;-13,4789;1,54584
789;2709305;-13,2095;6,33637
799;4925026;-14,6735;3,38944
817;2085388;-12,3496;6,2162
818;5850350;-13,9115;1,6814
819;3398345;-10,5664;3,25779
820;4485728;-9,52968;1,69291
824;2669035;-12,9144;5,52193
832;5940296;-10,3872;3,33918
836;2237645;-13,048;4,14757
837;3392615;-13,5256;2,86232
839;1790888;-13,9023;2,85994
842;1456015;-11,7197;4,82238
856;3943118;-13,2326;2,83498
859;3351077;-13,9323;3,76632
864;4003767;-9,64475;5,6158
874;5421933;-12,4192;4,80739
890;1831185;-15,7416;4,08683
893;1687020;-11,9906;0,551967
902;3863627;-14,7937;2,98063
906;4739605;-10,4362;2,06428
909;5264288;-14,0128;4,31603
910;2495416;-10,6928;2,0533
916;1254063;-13,8993;2,57545
923;3942575;-11,8838;4,64891
930;4594507;-15,246;7,12413
938;4333854;-15,3521;3,85584
944;3050225;-11,0862;2,25971
951;2512543;-11,1439;1,71507
952;5734952;-11,7434;0,17866
953;2606882;-13,2673;4,07814
954;2807425;-11,6425;1,38784
955;3347720;-12,4954;2,26257
959;3971262;-12,1357;1,85076
962;1441973;-11,2569;1,67428
969;3305447;-11,7337;1,94891
971;2785939;-13,3188;4,08256
975;5154326;-9,3937;4,87803
977;2297102;-11,6576;2,57776
978;3278303;-10,3371;0,523533
981;1858897;-14,1164;3,31337
987;5782100;-14,7984;5,12745
997;5366296;-12,3371;4,27957
1001;3103599;-14,8825;3,83854
1007;5239575;-12,2234;3,11162
1014;5151632;-13,2927;4,10947
1015;5575252;-13,5258;3,29215
1026;1278864;-12,6012;5,08643
1031;2699156;-11,2908;3,27268
1032;1751505;-10,7936;3,3639
1040;2135692;-10,8064;-0,305344
1042;3247092;-11,47;5,13504
1049;2010577;-12,4127;2,39037
1051;2317051;-8,66924;0,77945
1052;3793284;-14,9466;0,50934
1053;1549174;-11,5557;4,36283
1066;5125112;-9,64078;2,74991
1069;3801682;-12,2098;3,08339
1070;3614831;-11,736;2,11601
1075;3329962;-9,61053;2,51931
1077;4197280;-11,9571;6,34011
1079;3781268;-10,2831;4,4141
1087;1498783;-10,7701;2,85998
1093;5633302;-12,6716;2,625
1100;2765936;-11,3982;5,12925
1104;2296612;-12,8654;1,83025
1109;4824020;-12,8606;4,71821
1120;4990499;-10,534;2,66507
1121;3645393;-11,7495;1,66731
1126;2600756;-10,6417;5,56765
1134;5999382;-12,5021;3,10966
1143;4698097;-13,1308;1,85988
1155;5223454;-10,568;3,52343
1157;2906981;-13,4228;3,26149
1164;4039376;-14,488;1,83901
1168;4425430;-8,9557;4,00101
1172;3745152;-10,2333;5,45123
1181;4695655;-11,8201;4,34955
1182;1833314;-14,7833;2,17128
1198;1939027;-11,6121;5,01046
1204;5870870;-12,6274;5,18487
1205;2610531;-10,4916;2,89616
1213;2447320;-15,3184;2,32517
1214;1755202;-11,8838;3,79948
1215;4351073;-13,7314;3,75897
1218;4886975;-14,2303;4,48509
1219;1247806;-17,0746;4,75
1220;2165644;-13,5806;4,1779
1221;5084507;-11,0652;3,84109
1233;2023454;-10,3683;4,34987
1239;4174802;-13,9599;5,63067
1241;4627181;-14,7423;3,31009
1245;4390763;-11,3492;6,9101
1253;1152330;-11,7838;2,60655
1255;3646647;-13,8108;3,33091
1257;5394097;-11,7574;5,41441
1260;2262408;-12,7492;1,44532
1264;2637124;-12,4752;3,11653
1291;2124432;-13,599;1,37117
1292;2530642;-12,4563;3,17114
1295;4097461;-10,6067;4,17505
1299;1704503;-12,5507;5,09494
1301;4949349;-12,6217;2,52472
1303;3192974;-11,9063;5,06799
1307;3219545;-12,7;2,14888
1308;1947588;-12,8264;5,96145
1310;1327904;-15,8225;4,72739
1313;1043118;-13,5644;3,3113
1315;2611780;-10,6536;4,5198
1318;3796118;-12,0108;3,43629
1320;3362625;-15,4639;5,93553
1321;4623338;-13,0766;2,91804
1331;5034741;-13,0542;4,23964
1334;3276847;-10,0256;4,41951
1336;1596576;-12,84;1,28218
1339;5933377;-9,82867;3,84037
1344;3873114;-12,2651;2,63631
1345;4984855;-11,2045;5,57445
1349;5558446;-15,024;3,55908
1360;4565735;-13,6914;4,91446
1363;1400449;-11,9982;5,62467
1374;4504985;-10,0714;1,69718
1376;5221369;-11,7824;4,27838
1381;5557418;-12,9652;3,66081
1383;5694403;-13,5845;3,77522
1384;5743008;-10,6013;2,28887
1385;3976699;-16,0107;2,7663
1397;4667185;-12,558;6,14747
1398;4236250;-11,1568;4,32868
1404;1590170;-12,8927;5,63971
1406;4378788;-10,1794;5,66747
1408;1937187;-10,6991;2,11682
1410;2437285;-14,3789;5,20588
1411;4634579;-11,3677;3,18983
1416;5477663;-12,2432;3,09743
1418;5675135;-10,3685;3,16848
1419;3696863;-10,1786;3,46176
1425;3571496;-13,1592;2,27571
1429;1945631;-11,3471;4,65377
1430;1646401;-11,3115;4,50273
1433;4381441;-14,1043;2,6992
1434;4202453;-12,013;2,15933
1438;2656040;-13,8232;3,16933
1444;5427838;-13,7411;3,35051
1445;1458250;-13,6928;4,72825
1452;5096885;-10,2821;3,46668
1457;4078162;-11,0294;2,31626
1461;3901970;-8,91013;0,674406
1463;3292369;-10,8216;4,72615
1469;3597609;-12,4271;3,82707
1472;3232989;-11,4493;2,63482
1477;5731905;-12,0397;5,70749
1479;6016966;-11,6084;5,21118
1484;4443026;-8,71354;2,90249
1486;1465161;-12,8359;2,94661
1487;1917970;-11,4012;4,91489
1493;3886424;-15,5533;5,03265
1497;3953473;-10,7149;2,15747
1517;3942816;-10,992;2,3937
1519;3022242;-10,3566;3,78269
1522;2961717;-13,4004;3,16163
1530;1742391;-12,5582;2,8313
1536;1833863;-13,5497;1,91102
1537;3564689;-10,5507;1,99596
1544;3907429;-10,8984;7,17883
1549;2180518;-14,3272;1,98363
1550;5397666;-12,2379;3,25048
1551;1701377;-12,3222;4,90247
1552;2817794;-15,0025;4,52366
1557;2688462;-11,8013;5,20045
1565;1159206;-12,4538;4,72819
1570;3816405;-10,0552;0,935762
1580;1872802;-15,6205;2,49988
1589;1061170;-13,9162;4,23316
1590;2456282;-15,4174;5,15734
1591;5090728;-12,4114;4,40207
1601;1472518;-13,089;4,50298
1606;3825696;-13,338;4,77089
1611;4564835;-14,9823;4,41177
1615;3554350;-12,2614;2,63174
1624;5122564;-11,5616;2,77884
1626;5487318;-13,422;3,50521
1628;5366765;-12,8307;4,79597
1630;1576367;-12,2249;3,68708
1632;2209847;-12,9739;4,01797
1649;2608575;-12,6902;0,194523
1650;4201345;-14,3856;4,3175
1672;2302477;-10,5408;1,75182
1684;5980861;-12,9993;4,46622
1697;3209086;-14,458;4,79073
1720;5883096;-10,0102;3,6065
1732;3986638;-10,92;2,1294
1734;1438732;-10,3739;2,08655
1741;2527003;-12,4993;2,9817
1746;5018874;-10,042;3,03061
1752;1393210;-13,5618;2,95638
1756;1173889;-12,5914;3,22509
1759;2509262;-13,052;4,60151
1768;4212007;-13,0725;2,70427
1769;5710487;-10,5017;3,90687
1782;2737424;-13,9234;3,05982
1784;3452884;-12,0691;6,25323
1787;5612834;-12,3115;2,03108
1795;3380102;-13,1357;5,21838
1802;3916808;-14,012;1,22258
1827;3193159;-12,1895;5,6547
1840;1915247;-12,2274;4,80259
1841;5509427;-11,1148;6,98123
1844;3879331;-10,8882;3,81921
1848;2125631;-12,8134;4,46339
1851;4652740;-11,6252;2,98434
1853;5775282;-12,6068;1,40822
1860;4057595;-11,6567;3,63584
1862;5817112;-12,768;2,05038
1872;2508315;-12,4092;4,57451
1873;5183049;-12,5071;2,23952
1881;2682297;-10,5838;4,83305
1884;5299967;-12,5024;2,83851
1885;5379651;-12,5263;4,75258
1900;3640495;-10,6552;4,65109
1904;3484269;-12,924;3,05658
1906;4252140;-8,07379;4,19138
1908;3418737;-8,79076;0,62485
1940;3121164;-13,3512;1,49876
1955;3995179;-12,5023;4,96688
1958;1623554;-11,631;2,4665
1970;5188293;-11,5511;5,06933
1972;5039683;-11,3987;3,83465
1975;2371373;-13,2246;4,51002
1978;2100718;-11,7099;1,207
1980;5470959;-10,2017;0,0640881
1982;1437251;-12,3151;4,99572
1985;1860952;-10,6427;3,64328
1989;5122881;-13,7871;3,82494
2000;4799065;-15,1853;3,53938
2003;4807298;-11,9764;6,92919
2004;4227628;-11,5147;2,59329
2008;4380732;-11,0361;1,91995
2009;1610844;-14,7381;3,43187
2011;5368777;-10,7549;2,21302
2013;3559043;-12,1349;3,08794
2015;2289825;-12,2417;5,19198
2016;3332455;-10,1446;1,82897
2031;3399540;-12,8464;0,757999
2035;1646148;-10,9163;1,89177
2036;5358677;-13,5718;4,80376
2039;3767893;-12,9642;4,5335
2040;4659304;-12,1414;4,92442
2043;5200024;-11,8862;4,73391
2050;1080879;-12,2469;2,72254
2058;1673737;-12,7886;2,90428
2065;2897893;-11,9901;5,15276
2082;1249816;-9,83375;3,58318
2083;2293846;-13,8038;4,11723
2086;3360524;-11,3345;2,75721
2092;3220366;-12,7799;3,30604
2095;4173116;-11,6677;3,06709
2108;5311045;-14,5041;4,37647
2110;5159267;-10,8904;1,81644
2120;4713479;-9,04806;1,23531
2130;5610788;-10,9722;5,55561
2144;5165511;-9,78856;2,06785
2160;2665461;-16,658;6,04876
2162;2092995;-10,341;5,62066
2168;3857517;-14,887;7,26655
2179;3857445;-13,7912;3,81998
2182;2532230;-16,0438;2,1366
2185;5053096;-13,4116;2,16466
2187;2748673;-14,0438;4,49379
2191;5625517;-13,5769;5,00691
2193;3779932;-14,2225;0,560906
2195;5221154;-13,0094;4,18585
2203;5469125;-12,6726;2,92079
2207;2368893;-13,9897;3,31974
2208;1785323;-12,0337;5,53206
2209;5734509;-11,7824;0,255476
2213;3536659;-11,6;4,07037
2216;5246815;-15,0646;3,75397
2217;1433733;-9,89378;1,3918
2218;2747396;-11,7088;3,88536
2221;3251243;-9,65149;-0,509574
2223;4258248;-11,5626;3,90917
2235;2133577;-13,0343;4,35216
2236;1793751;-12,85;5,18948
2245;4762326;-14,6466;5,30611
2248;3990372;-13,1149;2,9769
2258;2625875;-11,858;4,14254
2259;5668384;-11,9843;4,60547
2261;3500233;-9,86274;5,32075
2262;5201236;-12,7901;3,37126
2263;3283484;-13,7204;2,92253
2265;5051773;-13,4037;3,27587
2276;1465027;-14,3243;2,84429
2280;2385030;-10,7407;3,00062
2283;3963276;-12,8079;2,15553
2288;5883227;-11,417;4,12567
2290;2510688;-12,312;1,28685
2297;3439277;-11,1064;4,51926
2301;5546989;-14,4157;0,983548
2304;1797990;-12,1091;5,49356
2305;4183379;-10,2904;4,33278
2308;4401797;-14,434;3,91937
2309;4171291;-12,7489;5,2609
2311;1469377;-13,0803;4,58083
2324;5973767;-14,322;4,50655
2332;1527701;-9,81848;1,45044
2335;2919904;-13,5514;3,55838
2338;4521687;-10,0754;5,21254
2340;4975964;-14,3681;3,56167
2341;5954711;-12,8408;1,86176
2345;3576630;-12,8075;0,739985
2346;2447200;-11,3274;4,9435
2354;1418749;-13,0403;3,56684
2355;4460674;-12,3321;5,66462
2363;2809383;-12,3943;4,30587
2366;5110192;-12,2917;3,62374
2368;4467940;-11,9685;3,36326
2373;1743437;-10,8315;2,71794
2374;5635002;-13,7359;2,91467
2378;5747782;-12,2194;5,28406
2382;3755721;-14,014;4,01814
2384;4529852;-12,1463;5,23954
2391;2213976;-12,3008;3,7034
2403;2280315;-11,8387;5,42467
2406;6007853;-14,7379;3,49921
2407;3125109;-11,6679;3,33915
2411;5107159;-14,9945;5,76604
2414;1990345;-10,1025;2,87614
2417;5529183;-14,8567;2,50536
2426;2129055;-11,841;4,23333
2428;1520553;-11,3227;4,99889
2430;5492554;-13,9125;1,40959
2433;1468122;-10,3295;4,06707
2442;4970053;-11,7255;2,87586
2473;4856869;-13,5845;3,76334
2475;3988883;-14,1964;3,43323
2476;2992224;-11,6374;2,97446
2477;1055190;-12,1256;5,8437
2480;3469112;-11,5931;5,12984
2490;3879914;-10,4482;4,50409
2492;4158571;-10,4713;2,19475
2504;2842003;-12,6398;2,64048
2505;4467245;-13,0954;2,64028
2507;5968075;-14,504;2,80767
2533;1400312;-13,6321;2,10167
2535;5135213;-12,9303;4,19466
2539;1250122;-13,4935;4,27718
2549;5813459;-10,8301;1,44303
2557;2141727;-10,9085;4,58909
2560;3270564;-14,6289;5,3822
2561;5877792;-9,78367;1,8419
2578;2728081;-14,5941;6,57493
2581;2053404;-12,0645;2,37511
2584;5436310;-11,7546;3,04016
2601;2676255;-12,1723;1,52135
2604;1955633;-12,1381;4,43258
2606;4745574;-13,4369;4,72803
2618;2469566;-11,1296;5,05271
2631;2440897;-12,8443;2,70696
2635;3830755;-14,7125;2,36722
2647;1459468;-12,9897;5,05699
2648;2341282;-10,6385;3,73889
2652;1761610;-9,72662;5,02295
2681;2617603;-12,2956;3,09852
2712;3841955;-12,6891;5,66381
2715;2076280;-11,8796;3,40281
2720;3511597;-10,2242;3,95417
2729;5375611;-11,8845;6,31454
2753;1082061;-18,1085;2,8758
2763;5996608;-11,3812;5,03954
2785;3615455;-9,56335;3,31459
2786;2954158;-10,9166;5,57404
2801;3386649;-13,8649;4,26456
2810;4898599;-13,7029;5,01306
2818;1901995;-11,4373;2,80124
2858;2149684;-13,9248;4,09956
2867;1695596;-12,4544;2,80883
2871;3265874;-10,8034;-0,181982
2882;1159885;-13,4769;4,86894
2902;2088022;-13,0036;2,97626
2905;4137634;-15,227;2,89885
2910;3879889;-15,4925;2,93401
2921;6004658;-11,3493;3,07416
2927;5548064;-12,8633;5,18499
2944;4129075;-12,8621;5,76184
2951;1831953;-12,3995;4,47114
2953;4441318;-15,3657;5,8681
2957;3609947;-13,4084;3,5306
2958;4191953;-12,9853;6,3284
2961;5355206;-11,3308;3,64504
2964;5075197;-10,6278;1,33705
2965;1397950;-12,0521;4,40587
2966;2249463;-11,343;4,66097
2973;3718435;-12,7268;5,0556
2994;5097592;-11,1807;4,57207
3004;3558638;-9,80936;3,8565
3010;2906397;-10,9505;1,27904
3019;3682418;-14,0245;3,2079
3021;2070369;-12,231;4,24614
3034;3841749;-11,9244;3,25755
3036;3765376;-12,3381;4,25148
3040;3624769;-13,3333;3,6149
3041;2724026;-9,47815;4,43241
3044;3923679;-9,51395;4,0693
3054;2223687;-11,8845;3,35189
3058;4952932;-11,8745;3,96375
3059;2872183;-12,4179;4,60648
3060;2970491;-10,3374;5,66422
3065;6021973;-14,9006;3,12914
3072;5013475;-12,9511;3,71743
3080;5337122;-8,31377;3,2393
3094;1992636;-13,0232;5,42095
3095;5229051;-10,8342;4,97285
3099;5050286;-11,5596;2,92572
3103;4331998;-12,8046;2,11874
3114;1074543;-12,9368;6,38766
3117;2027919;-13,7767;2,22022
3124;1982211;-8,309;4,73016
3127;4827543;-12,9076;2,86043
3134;5527070;-15,3095;3,62866
3137;1871106;-9,83498;3,1765
3138;3998009;-10,7378;3,21596
3140;5301617;-13,8825;4,25918
3152;1278030;-12,5167;3,37178
3160;5485277;-12,4415;5,66864
3170;1124497;-9,93318;2,59671
3171;4730507;-12,2067;3,16887
3172;2017505;-11,3832;4,8857
3176;5565686;-14,4723;1,98566
3179;5860272;-13,9581;5,77098
3184;4722329;-12,2063;2,30129
3193;3821316;-13,8349;0,485509
3197;3892702;-13,6062;6,31118
3205;4395612;-11,6964;5,53705
3210;3275239;-11,4001;1,67595
3214;4860352;-13,1405;5,96577
3216;3788683;-9,86728;3,4019
3218;4930670;-14,2952;2,18868
3219;2317487;-11,9507;2,66644
3225;2855601;-14,2663;6,59402
3226;4415519;-12,9206;3,84564
3233;4648649;-11,8733;3,69995
3240;5707352;-14,4562;3,58153
3242;5802956;-12,5683;3,7761
3244;4884125;-13,9598;2,6383
3245;3070270;-13,2629;4,73263
3248;2329392;-11,5354;4,61602
3249;5464245;-13,5873;4,70796
3250;1894383;-7,28235;2,47564
3251;5701197;-13,7399;4,20377
3260;5356403;-13,9307;3,45965
3264;2795123;-13,1393;2,96671
3266;1497158;-13,4239;5,08842
3268;4825804;-13,2061;6,43646
3272;3092173;-13,6489;2,03469
3275;5548788;-12,8915;5,58241
3277;1647846;-14,6975;0,893347
3286;3983400;-11,468;4,36151
3287;2750744;-12,3755;4,13555
3289;5892844;-11,4351;3,51105
3298;4050505;-12,2519;3,33271
3303;3712535;-12,805;2,55768
3315;3570343;-12,1504;3,25071
3321;5135654;-11,3466;5,14306
3327;3145626;-13,3584;5,51925
3332;1246947;-8,81914;2,92823
3335;3734457;-13,2536;2,61709
3339;1472048;-10,9192;5,13588
3341;3739589;-13,3291;5,19441
3371;5515004;-13,3914;4,79678
3375;3893198;-8,72011;4,11046
3389;2932010;-14,0047;5,36267
3390;4270979;-13,1781;1,01689
3420;4606138;-14,6116;5,3441
3429;4800650;-15,1749;2,47651
3435;3132490;-10,4093;1,3147
3439;5035668;-11,5714;3,08555
3440;4214636;-13,1455;5,22012
3443;5598512;-12,0072;4,87907
3445;1288720;-11,9231;2,31667
3447;2376393;-15,4655;3,18857
3449;1159358;-11,3363;2,01792
3450;4202547;-12,9254;1,47443
3451;2732320;-13,0637;3,31313
3452;3717676;-9,58943;3,33418
3455;5257592;-9,45225;1,34948
3456;3908328;-13,3474;6,13512
3458;5607999;-11,8986;5,42156
3461;4539678;-14,1734;3,22855
3469;2555939;-15,6524;4,28781
3471;2627870;-13,9238;2,63419
3478;3272981;-13,6928;1,49782
3480;2683898;-11,8077;3,3107
3483;3646221;-11,6901;3,20487
3492;1122578;-13,3686;2,77573
3494;4941182;-14,2516;3,46037
3497;4050232;-14,8385;2,83549
3498;3650343;-12,4124;3,61242
3508;1417995;-11,5102;6,37972
3510;1000224;-11,5052;5,78257
3511;4021545;-12,7729;0,303225
3512;5416838;-12,8057;7,6935
3514;5183507;-13,0613;4,61089
3516;1306188;-13,3691;5,03436
3518;4423928;-12,2509;4,56547
3532;4297826;-13,3314;1,3272
3540;2642944;-14,2816;3,81423
3563;3457379;-12,9569;3,64396
3566;3127883;-13,7795;5,01764
3577;5925877;-15,5559;1,63281
3584;3630135;-13,7845;4,83921
