id;r1;r2;r3
820;4485728;-9.52968;1.69291
823;2758545;-15.7219;4.35525
825;1091500;-15.7426;5.55915
828;5686688;-9.80612;3.44305
831;1983942;-10.5406;3.18329
832;5940296;-10.3872;3.3391800000000003
835;4782832;-9.85165;1.96015
843;2638449;-7.9232;2.1165700000000003
845;3687144;-8.11122;0.131204
854;5075050;-10.7726;3.36807
868;3263126;-15.069;4.10091
881;2899308;-15.1203;5.74655
889;2082594;-10.2216;3.4617699999999996
890;1831185;-15.7416;4.08683
891;2315530;-9.37925;2.7826299999999997
892;1995261;-14.0262;4.10767
905;2105314;-14.9232;5.010619999999999
906;4739605;-10.4362;2.06428
907;3361597;-10.7387;3.0234799999999997
909;5264288;-14.0128;4.3160300000000005
910;2495416;-10.6928;2.0533
917;5437069;-9.59651;3.44771
926;3669828;-14.1152;4.774380000000001
930;4594507;-15.245999999999999;7.12413
936;4985676;-10.9682;2.78599
937;2283734;-10.9689;2.96841
938;4333854;-15.3521;3.85584
945;1801220;-13.682;4.1804
947;5204467;-10.6028;3.2648200000000003
966;2616956;-9.95514;2.66296
974;2918808;-14.5377;6.951110000000001
976;2627073;-14.315999999999999;4.2581
984;5336557;-13.527000000000001;4.84082
987;5782100;-14.7984;5.12745
990;5358018;-13.8543;4.73259
991;5057491;-13.4572;4.84087
993;3181069;-9.999410000000001;0.6957
995;1222037;-13.3934;4.64086
1001;3103599;-14.8825;3.83854
1010;3656574;-10.4885;2.31617
1017;2977668;-14.3722;5.17584
1021;1402223;-9.555;3.05174
1024;2113455;-10.1866;3.5141
1032;1751505;-10.7936;3.3639
1034;3180056;-15.8187;5.763780000000001
1038;2044403;-14.6454;4.49488
1039;2167319;-15.5012;3.62855
1043;4837790;-14.4148;4.34657
1051;2317051;-8.66924;0.77945
1059;2091050;-14.4384;5.83213
1063;1509390;-14.5098;5.23896
1066;5125112;-9.64078;2.74991
1073;5285457;-13.815999999999999;4.24465
1075;3329962;-9.61053;2.51931
1081;4709654;-10.9669;2.54325
1082;1631677;-10.7147;2.8604
1083;5972896;-14.0319;4.93337
1087;1498783;-10.7701;2.8599799999999997
1088;4272991;-14.9425;5.02715
1091;5725474;-15.0823;4.41533
1094;5361108;-13.5936;5.1851
1103;3834599;-15.2315;4.33744
1105;3875432;-10.0473;2.1863799999999998
1110;4590343;-15.9416;4.5754
1114;1656277;-14.2097;4.5718
1120;4990499;-10.534;2.66507
1128;3656119;-13.7298;5.19709
1129;1821479;-14.6534;4.0374
1145;4734382;-10.3;1.02486
1147;5600519;-10.0529;2.0133
1152;5577088;-13.714;4.05396
1155;5223454;-10.568;3.5234300000000003
1158;5270999;-14.5356;4.2223
1163;5452540;-10.5411;3.6617300000000004
1167;6010277;-8.78759;3.78035
1168;4425430;-8.9557;4.00101
1173;5189425;-10.9649;2.17963
1175;3148222;-13.7602;4.890969999999999
1176;3918895;-10.6668;2.48257
1177;4808719;-14.9838;5.07421
1179;2161853;-11.0795;2.5306
1186;2323654;-9.2307;1.6638700000000002
1194;1729476;-14.7737;5.15515
1199;3161555;-14.3244;3.9594400000000003
1200;5729508;-14.2166;4.75603
1202;3886410;-13.77;5.0397
1203;5231221;-10.3198;3.17702
1205;2610531;-10.4916;2.89616
1209;1143144;-14.4805;5.752759999999999
1210;4236554;-14.1499;6.15069
1218;4886975;-14.2303;4.4850900000000005
1219;1247806;-17.0746;4.75
1220;2165644;-13.5806;4.1779
1223;2780936;-8.4314;3.19604
1239;4174802;-13.9599;5.630669999999999
1244;1834934;-10.3155;1.9697799999999999
1250;2073100;-7.79215;1.99072
1252;3409330;-9.91231;3.61383
1261;3281848;-17.6167;4.574730000000001
1263;1017557;-13.802999999999999;5.60808
1271;1038394;-13.8878;3.98565
1282;1868293;-13.7958;3.86605
1283;3846433;-8.58458;1.2177200000000001
1286;4823514;-11.0372;2.9041
1288;1645627;-14.7268;4.58084
1289;4586723;-9.55187;3.33756
1290;5960374;-14.0831;5.39623
1296;5935716;-10.6465;2.70891
1297;1373899;-11.09;2.61377
1305;1997387;-9.544189999999999;3.5285300000000004
1310;1327904;-15.8225;4.72739
1311;4613477;-10.1252;2.51016
1314;3844504;-9.47767;2.94296
1316;2656079;-13.9726;4.96935
1320;3362625;-15.4639;5.93553
1324;2508453;-11.0489;2.7094
1329;4053254;-8.460410000000001;2.8168
1335;5616514;-16.4286;3.7256
1338;4090095;-13.276;4.637230000000001
1339;5933377;-9.828669999999999;3.8403699999999996
1342;1707217;-14.1725;5.38472
1348;3531568;-13.7156;4.36431
1358;2288467;-14.7133;4.83835
1360;4565735;-13.6914;4.91446
1361;1372161;-10.8171;2.36936
1366;4227365;-10.6398;2.92049
1367;4720204;-9.557319999999999;2.5045900000000003
1368;5814795;-14.2045;5.39035
1369;2038825;-14.1009;5.3200400000000005
1371;4171988;-13.3187;4.53543
1372;3307407;-10.8477;3.36565
1373;3523943;-11.2318;2.91091
1374;4504985;-10.0714;1.69718
1382;1927132;-13.7174;4.7948900000000005
1384;5743008;-10.6013;2.28887
1387;4356965;-13.7549;4.5299
1388;3903347;-9.53761;3.0077599999999998
1390;5456756;-10.9218;2.50095
1393;4700404;-14.3414;4.93766
1396;5410623;-14.6687;6.1445300000000005
1408;1937187;-10.6991;2.11682
1410;2437285;-14.3789;5.2058800000000005
1413;2212437;-9.30292;2.27825
1415;2744567;-10.0148;3.03431
1418;5675135;-10.3685;3.1684799999999997
1419;3696863;-10.1786;3.46176
1420;5532232;-10.1636;3.5931699999999998
1422;5323829;-14.9597;5.0936
1431;2041056;-14.5594;4.97684
1443;5558156;-14.4789;5.222569999999999
1445;1458250;-13.6928;4.72825
1452;5096885;-10.2821;3.46668
1453;1411149;-9.41333;1.4225299999999999
1454;5912933;-10.9744;3.34513
1456;1945868;-10.3903;3.45669
1457;4078162;-11.0294;2.3162599999999998
1461;3901970;-8.91013;0.6744060000000001
1468;5709583;-10.7926;3.34175
1471;5418923;-14.5545;5.18509
1473;4457386;-15.0529;5.38402
1480;4501216;-14.1543;3.77179
1482;2698054;-11.102;2.49295
1484;4443026;-8.71354;2.9024900000000002
1492;3377278;-15.3757;6.33181
1493;3886424;-15.5533;5.03265
1494;3090109;-15.8332;6.06597
1495;2315875;-14.0642;5.12604
1497;3953473;-10.7149;2.15747
1504;4746172;-8.78059;3.23239
1506;4809974;-9.49864;2.8813400000000002
1513;4103956;-8.249410000000001;2.62933
1517;3942816;-10.992;2.3937
1521;2664199;-13.7352;5.16119
1523;2678076;-13.8176;4.549580000000001
1525;2684584;-10.2179;1.7917900000000002
1526;3518617;-14.0625;5.99354
1528;1908604;-13.7158;4.31243
1529;2825178;-9.2045;2.5484400000000003
1537;3564689;-10.5507;1.99596
1539;5710084;-8.95983;1.94295
1541;5567052;-13.56;5.3098
1547;2676875;-7.73413;1.2073200000000002
1552;2817794;-15.0025;4.52366
1554;1018589;-14.6913;4.19038
1568;1547706;-9.809389999999999;3.73173
1570;3816405;-10.0552;0.9357620000000001
1572;1007592;-14.3095;4.38503
1577;2932256;-9.94561;3.47793
1584;2884348;-15.3751;4.57717
1585;1146321;-14.588;3.9116199999999997
1589;1061170;-13.9162;4.23316
1590;2456282;-15.4174;5.1573400000000005
1603;5797131;-14.5372;6.23588
1606;3825696;-13.338;4.7708900000000005
1609;2335040;-14.5801;4.72985
1611;4564835;-14.9823;4.41177
1613;4614546;-14.3458;4.12236
1620;1330755;-13.6482;4.59355
1622;3767701;-14.1478;3.75855
1643;1068503;-10.3941;2.89224
1647;3671004;-10.4631;2.87373
1648;5853046;-13.9699;5.57357
1650;4201345;-14.3856;4.3175
1654;1253718;-10.6255;2.55405
1660;4323832;-13.8999;3.86363
1661;1685887;-14.3184;4.3367
1666;1095222;-14.325999999999999;5.2709
1668;2190803;-11.0931;3.23667
1669;3300850;-15.1187;4.0277199999999995
1672;2302477;-10.5408;1.7518200000000002
1677;2934318;-13.9003;4.39525
1679;4461687;-10.4894;3.40671
1682;5372083;-13.6614;4.35584
1685;5524453;-14.3888;3.82576
1686;1158971;-13.8182;4.34152
1691;2042885;-14.3518;5.81082
1692;2809851;-13.8166;4.42646
1697;3209086;-14.458;4.79073
1699;4845600;-9.03882;0.555538
1700;3648847;-11.1842;2.7509
1701;2367934;-10.6891;2.9776
1709;1776908;-10.4735;2.83926
1715;5452260;-13.3538;4.4747
1720;5883096;-10.0102;3.6065
1732;3986638;-10.92;2.1294
1733;4314783;-9.134960000000001;3.9402699999999995
1734;1438732;-10.3739;2.08655
1736;5654099;-14.0641;6.13822
1743;4943988;-15.255;7.60268
1744;5729433;-10.7887;2.45131
1746;5018874;-10.042;3.03061
1747;5818400;-10.4959;3.5962300000000003
1749;5375988;-14.2061;4.65198
