;id;r1;r2;r3;clusters
193;907;3361597;-10.7387;3.02348;0
194;909;5264288;-14.0128;4.3160300000000005;1
195;910;2495416;-10.6928;2.0533;0
196;917;5437069;-9.59651;3.44771;0
197;926;3669828;-14.1152;4.774380000000002;1
198;930;4594507;-15.246;7.12413;1
199;936;4985676;-10.9682;2.78599;0
200;937;2283734;-10.9689;2.96841;0
201;938;4333854;-15.3521;3.85584;1
202;945;1801220;-13.682;4.1804;1
203;947;5204467;-10.6028;3.2648200000000003;0
204;966;2616956;-9.95514;2.66296;0
205;974;2918808;-14.5377;6.951110000000001;1
206;976;2627073;-14.316;4.2581;1
207;984;5336557;-13.527;4.84082;1
208;987;5782100;-14.7984;5.12745;1
209;990;5358018;-13.8543;4.73259;1
210;991;5057491;-13.4572;4.84087;1
211;993;3181069;-9.99941;0.6957;0
212;995;1222037;-13.3934;4.64086;1
213;1001;3103599;-14.8825;3.83854;1
214;1010;3656574;-10.4885;2.31617;0
215;1017;2977668;-14.3722;5.17584;1
216;1021;1402223;-9.555;3.05174;0
217;1024;2113455;-10.1866;3.5141;0
218;1032;1751505;-10.7936;3.3639;0
219;1034;3180056;-15.8187;5.7637800000000015;1
220;1038;2044403;-14.6454;4.49488;1
221;1039;2167319;-15.5012;3.62855;1
222;1043;4837790;-14.4148;4.34657;1
223;1051;2317051;-8.66924;0.77945;0
224;1059;2091050;-14.4384;5.83213;1
225;1063;1509390;-14.5098;5.23896;1
226;1066;5125112;-9.64078;2.74991;0
227;1073;5285457;-13.816;4.24465;1
228;1075;3329962;-9.61053;2.51931;0
229;1081;4709654;-10.9669;2.54325;0
230;1082;1631677;-10.7147;2.8604;0
231;1083;5972896;-14.0319;4.93337;1
232;1087;1498783;-10.7701;2.85998;0
233;1088;4272991;-14.9425;5.02715;1
234;1091;5725474;-15.0823;4.41533;1
235;1094;5361108;-13.5936;5.1851;1
236;1103;3834599;-15.2315;4.33744;1
237;1105;3875432;-10.0473;2.18638;0
238;1110;4590343;-15.9416;4.5754;1
239;1114;1656277;-14.2097;4.5718;1
240;1120;4990499;-10.534;2.66507;0
241;1128;3656119;-13.7298;5.19709;1
242;1129;1821479;-14.6534;4.0374;1
243;1145;4734382;-10.3;1.02486;0
244;1147;5600519;-10.0529;2.0133;0
245;1152;5577088;-13.714;4.05396;1
246;1155;5223454;-10.568;3.5234300000000003;0
247;1158;5270999;-14.5356;4.2223;1
248;1163;5452540;-10.5411;3.66173;0
249;1167;6010277;-8.78759;3.78035;0
250;1168;4425430;-8.9557;4.00101;0
251;1173;5189425;-10.9649;2.17963;0
252;1175;3148222;-13.7602;4.8909699999999985;1
253;1176;3918895;-10.6668;2.48257;0
254;1177;4808719;-14.9838;5.07421;1
255;1179;2161853;-11.0795;2.5306;0
256;1186;2323654;-9.2307;1.6638700000000002;0
257;1194;1729476;-14.7737;5.15515;1
258;1199;3161555;-14.3244;3.95944;1
259;1200;5729508;-14.2166;4.75603;1
260;1202;3886410;-13.77;5.0397;1
261;1203;5231221;-10.3198;3.17702;0
262;1205;2610531;-10.4916;2.89616;0
263;1209;1143144;-14.4805;5.7527599999999985;1
264;1210;4236554;-14.1499;6.15069;1
265;1218;4886975;-14.2303;4.4850900000000005;1
266;1219;1247806;-17.0746;4.75;1
267;1220;2165644;-13.5806;4.1779;1
268;1223;2780936;-8.4314;3.19604;0
269;1239;4174802;-13.9599;5.6306699999999985;1
270;1244;1834934;-10.3155;1.96978;0
271;1250;2073100;-7.79215;1.99072;0
272;1252;3409330;-9.91231;3.61383;0
273;1261;3281848;-17.6167;4.5747300000000015;1
274;1263;1017557;-13.803;5.60808;1
275;1271;1038394;-13.8878;3.98565;1
276;1282;1868293;-13.7958;3.86605;1
277;1283;3846433;-8.58458;1.21772;0
278;1286;4823514;-11.0372;2.9041;0
279;1288;1645627;-14.7268;4.58084;1
280;1289;4586723;-9.55187;3.33756;0
281;1290;5960374;-14.0831;5.39623;1
282;1296;5935716;-10.6465;2.70891;0
283;1297;1373899;-11.09;2.61377;0
284;1305;1997387;-9.54419;3.5285300000000004;0
285;1310;1327904;-15.8225;4.72739;1
286;1311;4613477;-10.1252;2.51016;0
287;1314;3844504;-9.47767;2.94296;0
288;1316;2656079;-13.9726;4.96935;1
289;1320;3362625;-15.4639;5.93553;1
290;1324;2508453;-11.0489;2.7094;0
291;1329;4053254;-8.460410000000001;2.8168;0
292;1335;5616514;-16.4286;3.7256;1
293;1338;4090095;-13.276;4.6372300000000015;1
294;1339;5933377;-9.82867;3.84037;0
295;1342;1707217;-14.1725;5.38472;1
296;1348;3531568;-13.7156;4.36431;1
297;1358;2288467;-14.7133;4.83835;1
298;1360;4565735;-13.6914;4.91446;1
299;1361;1372161;-10.8171;2.36936;0
300;1366;4227365;-10.6398;2.92049;0
301;1367;4720204;-9.55732;2.5045900000000003;0
302;1368;5814795;-14.2045;5.39035;1
303;1369;2038825;-14.1009;5.3200400000000005;1
304;1371;4171988;-13.3187;4.53543;1
305;1372;3307407;-10.8477;3.36565;0
306;1373;3523943;-11.2318;2.91091;0
307;1374;4504985;-10.0714;1.69718;0
308;1382;1927132;-13.7174;4.7948900000000005;1
309;1384;5743008;-10.6013;2.28887;0
310;1387;4356965;-13.7549;4.5299;1
311;1388;3903347;-9.53761;3.00776;0
312;1390;5456756;-10.9218;2.50095;0
313;1393;4700404;-14.3414;4.93766;1
314;1396;5410623;-14.6687;6.1445300000000005;1
315;1408;1937187;-10.6991;2.11682;0
316;1410;2437285;-14.3789;5.2058800000000005;1
317;1413;2212437;-9.30292;2.27825;0
318;1415;2744567;-10.0148;3.03431;0
319;1418;5675135;-10.3685;3.16848;0
320;1419;3696863;-10.1786;3.46176;0
321;1420;5532232;-10.1636;3.59317;0
322;1422;5323829;-14.9597;5.0936;1
323;1431;2041056;-14.5594;4.97684;1
324;1443;5558156;-14.4789;5.222569999999998;1
325;1445;1458250;-13.6928;4.72825;1
326;1452;5096885;-10.2821;3.46668;0
327;1453;1411149;-9.41333;1.42253;0
328;1454;5912933;-10.9744;3.34513;0
329;1456;1945868;-10.3903;3.45669;0
330;1457;4078162;-11.0294;2.31626;0
331;1461;3901970;-8.91013;0.6744060000000001;0
332;1468;5709583;-10.7926;3.34175;0
333;1471;5418923;-14.5545;5.18509;1
334;1473;4457386;-15.0529;5.38402;1
335;1480;4501216;-14.1543;3.77179;1
336;1482;2698054;-11.102;2.49295;0
337;1484;4443026;-8.71354;2.90249;0
338;1492;3377278;-15.3757;6.33181;1
339;1493;3886424;-15.5533;5.03265;1
340;1494;3090109;-15.8332;6.06597;1
341;1495;2315875;-14.0642;5.12604;1
342;1497;3953473;-10.7149;2.15747;0
343;1504;4746172;-8.78059;3.23239;0
344;1506;4809974;-9.49864;2.88134;0
345;1513;4103956;-8.249410000000001;2.62933;0
346;1517;3942816;-10.992;2.3937;0
347;1521;2664199;-13.7352;5.16119;1
348;1523;2678076;-13.8176;4.5495800000000015;1
349;1525;2684584;-10.2179;1.7917900000000002;0
350;1526;3518617;-14.0625;5.99354;1
351;1528;1908604;-13.7158;4.31243;1
352;1529;2825178;-9.2045;2.5484400000000003;0
353;1537;3564689;-10.5507;1.99596;0
354;1539;5710084;-8.95983;1.94295;0
355;1541;5567052;-13.56;5.3098;1
356;1547;2676875;-7.73413;1.2073200000000002;0
357;1552;2817794;-15.0025;4.52366;1
358;1554;1018589;-14.6913;4.19038;1
359;1568;1547706;-9.80939;3.73173;0
360;1570;3816405;-10.0552;0.935762;0
361;1572;1007592;-14.3095;4.38503;1
362;1577;2932256;-9.94561;3.47793;0
363;1584;2884348;-15.3751;4.57717;1
364;1585;1146321;-14.588;3.91162;1
365;1589;1061170;-13.9162;4.23316;1
366;1590;2456282;-15.4174;5.1573400000000005;1
367;1603;5797131;-14.5372;6.23588;1
368;1606;3825696;-13.338;4.7708900000000005;1
369;1609;2335040;-14.5801;4.72985;1
370;1611;4564835;-14.9823;4.41177;1
371;1613;4614546;-14.3458;4.12236;1
372;1620;1330755;-13.6482;4.59355;1
373;1622;3767701;-14.1478;3.75855;1
374;1643;1068503;-10.3941;2.89224;0
375;1647;3671004;-10.4631;2.87373;0
376;1648;5853046;-13.9699;5.57357;1
377;1650;4201345;-14.3856;4.3175;1
378;1654;1253718;-10.6255;2.55405;0
379;1660;4323832;-13.8999;3.86363;1
380;1661;1685887;-14.3184;4.3367;1
381;1666;1095222;-14.326;5.2709;1
382;1668;2190803;-11.0931;3.23667;0
383;1669;3300850;-15.1187;4.02772;1
384;1672;2302477;-10.5408;1.7518200000000002;0
385;1677;2934318;-13.9003;4.39525;1
386;1679;4461687;-10.4894;3.40671;0
387;1682;5372083;-13.6614;4.35584;1
388;1685;5524453;-14.3888;3.82576;1
389;1686;1158971;-13.8182;4.34152;1
390;1691;2042885;-14.3518;5.81082;1
391;1692;2809851;-13.8166;4.42646;1
392;1697;3209086;-14.458;4.79073;1
393;1699;4845600;-9.03882;0.555538;0
394;1700;3648847;-11.1842;2.7509;0
395;1701;2367934;-10.6891;2.9776;0
396;1709;1776908;-10.4735;2.83926;0
397;1715;5452260;-13.3538;4.4747;1
398;1720;5883096;-10.0102;3.6065;0
399;1732;3986638;-10.92;2.1294;0
400;1733;4314783;-9.13496;3.94027;0
401;1734;1438732;-10.3739;2.08655;0
402;1736;5654099;-14.0641;6.13822;1
403;1743;4943988;-15.255;7.60268;1
404;1744;5729433;-10.7887;2.45131;0
405;1746;5018874;-10.042;3.03061;0
406;1747;5818400;-10.4959;3.5962300000000003;0
407;1749;5375988;-14.2061;4.65198;1
408;1753;5839180;-10.2689;2.3828;0
409;1754;5783596;-9.74961;0.407231;0
410;1758;1592798;-9.38452;2.57265;0
411;1775;4321392;-9.32255;2.73152;0
412;1786;5736214;-15.0725;3.89135;1
413;1794;5030603;-16.0792;5.089930000000002;1
414;1796;2851230;-10.7774;2.55975;0
415;1800;5130961;-11.2642;2.88812;0
416;1803;3414212;-9.94594;2.50799;0
417;1804;3580477;-14.1013;4.52927;1
418;1816;4031310;-15.0166;5.34849;1
419;1818;1820979;-10.1278;3.5824199999999995;0
420;1819;3672196;-9.96211;2.50765;0
421;1820;5904333;-16.6135;4.1198;1
422;1823;5995757;-14.1706;4.115469999999998;1
423;1826;4566063;-7.24555;3.68322;0
424;1829;3796610;-13.9017;5.47711;1
425;1830;2664268;-9.72123;3.37164;0
426;1837;3287505;-14.2692;4.32179;1
427;1842;4575240;-10.0786;2.9058200000000003;0
428;1843;2096207;-14.8541;3.87326;1
429;1850;4560490;-14.9616;5.27999;1
430;1852;1750663;-9.65176;3.88825;0
431;1854;5342805;-6.62936;4.2109;0
432;1864;3444135;-13.6928;4.0281;1
433;1868;4480696;-10.3373;2.29925;0
434;1874;1632384;-14.4073;4.59248;1
435;1876;4341240;-14.8002;5.18185;1
436;1887;1585572;-10.2564;1.73578;0
437;1897;5190491;-10.5119;3.3875;0
438;1898;2928970;-9.65348;3.06551;0
439;1906;4252140;-8.073789999999999;4.1913800000000005;0
440;1907;2705526;-10.7544;3.05182;0
441;1908;3418737;-8.79076;0.62485;0
442;1910;3320598;-10.1534;3.52735;0
443;1911;2671250;-10.7444;3.52029;0
444;1917;2813156;-10.2665;2.93823;0
445;1920;1620475;-11.0853;2.89889;0
446;1926;3266441;-14.6857;4.20781;1
447;1927;1847990;-11.017;3.32925;0
448;1930;2052180;-10.2969;2.86561;0
449;1933;3385113;-10.8194;3.01291;0
450;1936;2601150;-10.885;2.83447;0
451;1961;5627957;-8.84999;3.42438;0
452;1973;4252123;-10.862;2.6342;0
453;1977;1910312;-10.563;3.18141;0
454;1985;1860952;-10.6427;3.64328;0
455;1988;2686412;-10.356;3.67626;0
456;1989;5122881;-13.7871;3.82494;1
457;1993;5039078;-15.6177;5.04186;1
458;1995;6018920;-10.808;3.43191;0
459;1997;3601308;-15.6879;4.78815;1
460;2007;2315549;-14.9476;5.48455;1
461;2010;3724998;-14.19;5.00121;1
462;2011;5368777;-10.7549;2.21302;0
463;2016;3332455;-10.1446;1.82897;0
464;2021;2850049;-14.3935;4.75625;1
465;2036;5358677;-13.5718;4.80376;1
466;2042;4266860;-13.6982;4.5311900000000005;1
467;2047;2070720;-14.4431;4.62977;1
468;2051;4524178;-10.321;2.84188;0
469;2055;2960466;-13.4742;5.0066;1
470;2057;4689088;-14.4264;4.39572;1
471;2066;3278538;-15.7738;5.19259;1
472;2077;5415046;-13.7864;5.26507;1
473;2082;1249816;-9.83375;3.5831800000000005;0
474;2083;2293846;-13.8038;4.11723;1
475;2084;4393962;-10.3447;2.7448;0
476;2085;3871017;-9.83782;0.16054200000000002;0
477;2089;1559064;-16.2909;4.98327;1
478;2096;3158194;-9.37299;2.99414;0
479;2099;5562560;-13.4784;4.1394;1
480;2102;3529549;-8.44029;0.609545;0
481;2106;1284924;-13.795;5.10716;1
482;2108;5311045;-14.5041;4.3764699999999985;1
483;2114;2382802;-10.6622;2.16773;0
484;2115;2820838;-15.2156;4.01437;1
485;2119;1826432;-13.4332;5.01266;1
486;2120;4713479;-9.04806;1.23531;0
487;2122;4719977;-13.9446;4.69611;1
488;2127;4227973;-13.5902;5.03956;1
489;2131;1523330;-10.6363;2.77676;0
490;2134;5988380;-14.4468;4.00039;1
491;2141;1630757;-11.1403;2.73202;0
492;2142;5935955;-9.69227;1.08079;0
493;2144;5165511;-9.78856;2.06785;0
494;2147;3986421;-14.1196;4.52308;1
495;2148;2777155;-14.0425;4.18215;1
496;2160;2665461;-16.658;6.04876;1
497;2164;3849163;-13.3307;4.4958800000000005;1
498;2168;3857517;-14.887;7.26655;1
499;2170;1059745;-9.17739;3.71673;0
500;2179;3857445;-13.7912;3.81998;1
501;2180;2580099;-15.0837;5.27672;1
502;2187;2748673;-14.0438;4.49379;1
503;2189;2526303;-10.3172;2.80133;0
504;2191;5625517;-13.5769;5.00691;1
505;2216;5246815;-15.0646;3.75397;1
506;2217;1433733;-9.89378;1.3918;0
507;2221;3251243;-9.65149;-0.509574;0
508;2224;3161145;-9.27067;2.42109;0
509;2228;1403565;-14.5918;4.8839;1
510;2230;1266024;-14.2148;5.74351;1
511;2240;3502486;-13.9875;3.81505;1
512;2242;1102619;-13.9569;4.44235;1
513;2245;4762326;-14.6466;5.3061099999999985;1
514;2246;1969595;-15.3596;4.07964;1
515;2249;2787621;-9.58786;3.4454;0
516;2270;5212909;-10.5334;3.62726;0
517;2271;4919516;-14.2154;4.84192;1
518;2277;2526788;-14.6169;4.59741;1
519;2278;5599474;-14.457;5.50632;1
520;2280;2385030;-10.7407;3.00062;0
521;2281;2522612;-14.0444;3.87404;1
522;2284;2838199;-9.89137;3.06772;0
523;2291;4402436;-10.0906;2.64187;0
524;2292;3339331;-13.6217;4.65681;1
525;2295;5572035;-10.4486;2.00997;0
526;2299;2813576;-14.2585;5.76363;1
527;2300;3468698;-15.2664;5.9874;1
528;2308;4401797;-14.434;3.91937;1
529;2315;2766049;-8.85314;1.82232;0
530;2317;5279381;-10.455;2.4026400000000003;0
531;2318;4110317;-9.73839;2.62741;0
532;2319;5140780;-13.6941;4.82311;1
533;2322;2267434;-8.96916;1.3461;0
534;2323;4574798;-13.7718;4.02348;1
535;2324;5973767;-14.322;4.50655;1
536;2325;3730454;-10.0887;3.42476;0
537;2328;1738306;-9.90907;3.40782;0
538;2332;1527701;-9.81848;1.45044;0
539;2333;2987132;-9.87015;3.43089;0
540;2339;3393431;-9.92252;1.49444;0
541;2344;1160311;-8.67571;3.83462;0
542;2351;3820019;-14.2819;6.0904300000000005;1
543;2352;5161339;-13.9803;4.557169999999998;1
544;2367;2621751;-14.3746;3.80616;1
545;2373;1743437;-10.8315;2.71794;0
546;2375;5338893;-14.0424;4.7404;1
547;2377;4875088;-13.8587;5.33704;1
548;2382;3755721;-14.014;4.01814;1
549;2383;2578154;-15.041;5.22623;1
550;2390;3696232;-8.67262;3.93314;0
551;2395;5743972;-14.3512;3.91895;1
552;2397;1301587;-10.9439;3.24726;0
553;2404;2325317;-13.3683;4.73948;1
554;2411;5107159;-14.9945;5.76604;1
555;2414;1990345;-10.1025;2.8761400000000004;0
556;2418;5481159;-15.0294;4.51411;1
557;2436;1277315;-9.98786;1.57671;0
558;2439;2063539;-14.9543;4.16037;1
559;2446;4747791;-16.055;4.71948;1
560;2452;1494899;-15.3112;5.62589;1
561;2453;4643179;-14.1;4.65908;1
562;2457;1440213;-8.16138;3.78515;0
563;2460;5345511;-10.5003;2.97461;0
564;2463;1862562;-13.8852;5.11873;1
565;2472;3357215;-13.9258;5.65048;1
566;2483;3301708;-9.67963;1.79753;0
567;2484;5420106;-14.4632;6.49871;1
568;2485;5401509;-13.9646;4.60121;1
569;2492;4158571;-10.4713;2.19475;0
570;2506;3380797;-15.7044;7.04419;1
571;2509;5567577;-14.65;3.96522;1
572;2510;1057537;-14.8108;4.1576900000000006;1
573;2511;2596294;-13.5837;4.22181;1
574;2517;3060979;-14.5201;6.14015;1
575;2530;5950633;-13.8294;4.1859199999999985;1
576;2536;4096386;-14.054;4.5473300000000005;1
577;2539;1250122;-13.4935;4.27718;1
578;2544;4130970;-10.7448;2.99926;0
579;2552;1651357;-14.037;4.99825;1
580;2560;3270564;-14.6289;5.3822;1
581;2561;5877792;-9.78367;1.8419;0
582;2564;5073339;-15.7591;4.3731;1
583;2565;4462798;-13.8748;5.8555;1
584;2566;5967578;-10.6211;3.13511;0
585;2576;2981361;-10.3497;3.14109;0
586;2578;2728081;-14.5941;6.57493;1
587;2580;1560814;-14.0458;5.70501;1
588;2591;3516139;-14.079;4.0315400000000015;1
589;2593;5473293;-16.5769;6.82447;1
590;2595;1226208;-10.5451;1.97968;0
591;2597;3511324;-10.696;3.17595;0
592;2602;2697107;-14.3301;4.05422;1
593;2606;4745574;-13.4369;4.72803;1
594;2609;4893225;-9.1121;3.51291;0
595;2611;4155421;-10.0219;2.77218;0
596;2620;6002772;-14.5493;3.67795;1
597;2622;3144613;-14.2958;4.7502;1
598;2623;1285671;-13.5338;4.52122;1
599;2634;2431677;-9.93764;3.5557300000000005;0
600;2636;5921377;-10.0173;1.5816;0
601;2638;1774498;-10.5736;3.55305;0
602;2639;2447968;-8.87841;-1.07236;0
603;2645;3948181;-10.0369;3.10013;0
604;2649;2955510;-13.9091;4.1231800000000005;1
605;2651;4331732;-11.0683;2.68651;0
606;2654;4871856;-10.2984;2.94118;0
607;2658;5517147;-14.4577;5.6715;1
608;2661;3159284;-14.1442;4.67955;1
609;2668;3037041;-10.6503;2.65876;0
610;2672;5986142;-14.095999999999998;4.039630000000002;1
611;2676;3597988;-14.3001;4.57229;1
612;2688;3821368;-14.1695;3.98956;1
613;2690;1058955;-14.3671;4.28878;1
614;2692;1591636;-13.4658;4.53693;1
615;2694;2204611;-15.0134;4.6046;1
616;2695;1026003;-13.584;4.59464;1
617;2697;2361180;-10.7937;2.65465;0
618;2698;3669069;-10.7505;2.16662;0
619;2705;4915285;-13.6859;4.61434;1
620;2708;4044999;-10.3092;2.93729;0
621;2713;2242395;-14.1006;6.03626;1
622;2727;2939729;-7.9485800000000015;1.25415;0
623;2739;3326572;-10.7994;3.48004;0
624;2742;5387544;-10.4623;1.81492;0
625;2744;3916771;-9.3836;3.87765;0
626;2745;2278639;-15.7626;4.83902;1
627;2749;2514940;-14.5337;5.7451300000000005;1
628;2757;5442690;-14.4859;3.86908;1
629;2761;4630452;-8.38565;1.23725;0
630;2771;2983442;-10.7804;2.86625;0
631;2773;3663320;-8.46386;3.88926;0
632;2774;4270213;-10.9804;3.13504;0
